from_GEOID,to_GEOID,fare,IVTT,transfer_wait_time,access_walk_time,egress_walk_time,total_time,n_transfers
12031016606,12031014426,5.25,57.496719,45.5,0.148817,0.66943,139.814972,2
12031016606,12031014416,7,40.450886,67.5,0.464855,0.97,148.385742,3
12031016606,12031014704,5.25,33.290493,72.5,0.148817,0.443069,142.382385,2
12031016606,12031014340,7,116.719971,58.5,0.148817,1.275641,215.644424,3
12031016606,12031001401,8.75,40.923935,58.5,0.148817,0.208069,141.780823,4
12031016606,12031014414,7,41.683807,68.5,0.464855,0.839039,150.487701,3
12031016606,12031016605,3.5,12.884143,33.5,0.148817,0.141014,79.673973,1
12031016606,12031014427,7,81.620064,61.5,0.148817,0.474106,182.742981,3
12031016606,12031014415,5.25,33.314095,48,0.464855,0.228476,118.007423,2
12031016606,12031013524,10.5,91.822624,106.5,0.148817,0.359785,243.831238,5
12031016606,12031010503,7,66.067734,43,0.148817,0.904019,149.120575,3
12031016606,12031011905,8.75,59.648815,89.5,0.148817,0.874279,192.171921,4
12031016606,12031017101,8.75,63.720123,87.5,0.148817,0.213932,193.58287,4
12031016606,12031017102,8.75,65.281464,87.5,0.148817,0.40245,195.332733,4
12031016606,12031015701,7,44.110138,47.5,0.148817,0.018789,130.77774,3
12031016606,12031010306,7,59.520264,43,0.148817,0.976914,142.645996,3
12031016606,12031000102,8.75,89.321548,58,0.148817,0.689901,190.160263,4
12031016606,12031001402,7,37.885956,43.5,0.148817,0.869853,121.404625,3
12031016606,12031015805,7,57.991467,57.5,0.148817,1.171726,155.812012,3
12031016606,12031016731,5.25,32.872284,66.5,0.464855,0.89693,136.73407,2
12031016606,12031016604,3.5,28.316639,37,0.464855,1.226062,100.007545,1
12031016606,12031013906,10.5,111.895187,119,0.148817,1.261382,277.305389,5
12031016606,12031017200,7,28.149124,43.5,0.148817,0.476978,111.274918,3
12031016606,12031010402,8.75,79.234688,58,0.148817,0.482144,179.865646,4
12031016606,12031012704,8.75,77.999161,74,0.148817,0.550958,194.698944,4
12031016606,12031016200,3.5,9.364596,30,0.148817,0.387652,72.901062,1
12031016606,12031012000,8.75,53.308174,89.5,0.148817,0.874362,185.831345,4
12031016606,12031014312,5.25,100.51548,45.5,0.148817,0.423976,182.588272,2
12031016606,12019030500,5.25,70.303482,30,0.148817,0.677031,137.129333,2
12031016606,12019030400,5.25,73.400185,30,0.148817,1.148326,140.697327,2
12031016606,12019030304,10.5,92.331879,86.5,0.148817,0.997123,224.977814,5
12031016606,12019030600,NA,NA,NA,NA,NA,NA,NA
12031016606,12031012300,8.75,66.189903,72,0.148817,0.956326,181.295059,4
12031016606,12031002901,7,40.639194,43.5,0.148817,0.89312,124.181129,3
12031016606,12031015100,7,68.201843,60,0.148817,1.191023,168.541687,3
12031016606,12031013504,7,65.128677,59,0.148817,1.44936,164.726852,3
12031016606,12031015200,7,85.488594,43.5,0.148817,1.205396,169.342804,3
12031016606,12031000600,3.5,13.186418,29,0.148817,0.689914,76.025146,1
12031016606,12031001000,7,29.620806,43,0.148817,0.228137,111.99775700000001,3
12031016606,12031001100,7,32.49741,43,0.148817,0.610208,115.256432,3
12031016606,12031000700,3.5,24.061157,29.5,0.148817,0.767576,87.477554,1
12031016606,12031000800,3.5,18.040918,30,0.148817,0.529618,81.719353,1
12031016606,12031000200,7,40.553356,45,0.148817,0.499644,125.20182,3
12031016606,12031000300,7,41.28878,45,0.148817,1.420649,126.858246,3
12031016606,12031010700,8.75,73.168892,58.5,0.148817,0.798458,174.616165,4
12031016606,12031010800,NA,NA,NA,NA,NA,NA,NA
12031016606,12031010900,5.25,50.184769,58,0.148817,1.225817,145.559402,2
12031016606,12031011000,8.75,46.948013,58.5,0.148817,0.280586,147.877411,4
12031016606,12031011100,8.75,44.948723,71.5,0.148817,0.395723,158.993271,4
12031016606,12031011200,5.25,44.871098,58,0.148817,1.37154,140.391449,2
