stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
0393,,"Atlantic Blvd. & Brookview Dr.",,  30.323880, -81.529674,,,0,
0394,,"Atlantic Blvd. & Brookview Dr.",,  30.323650, -81.530310,,,0,
0395,,"Atlantic Blvd. & Cortez Rd.",,  30.323330, -81.533510,,,0,
0396,,"Atlantic Blvd. & Jackson Rd.",,  30.323646, -81.532167,,,0,
0397,,"Atlantic Blvd. & Lee Rd.",,  30.323269, -81.535554,,,0,
0398,,"Atlantic Blvd. & Debutante Dr.",,  30.323060, -81.536080,,,0,
0399,,"Atlantic Blvd. & Leon Rd.",,  30.323050, -81.537729,,,0,
0400,,"Atlantic Blvd. & Leon Rd.",,  30.322820, -81.538330,,,0,
0401,,"Atlantic Blvd. & Anniston Rd.",,  30.322590, -81.542100,,,0,
0402,,"Atlantic Blvd. & Library Rd.",,  30.322367, -81.544004,,,0,
0403,,"9848 Atlantic Blvd.",,  30.322230, -81.543960,,,0,
0404,,"Atlantic Blvd. & Monument Rd.",,  30.322144, -81.546626,,,0,
0405,,"Atlantic Blvd. & Live Oak Dr.",,  30.321787, -81.547101,,,0,
0406,,"Regency Square Hub",,  30.321906, -81.552434,,,0,
0407,,"9439 Atlantic Blvd.",,  30.319795, -81.553301,,,0,
0408,,"Swelo Rd. & Arlington Expy.",,  30.319712, -81.558405,,,0,
0409,,"Walmart on Monument",,  30.341168, -81.546966,,,0,
0410,,"Monument Rd. & Tredinick Pkwy.",,  30.337680, -81.545040,,,0,
0411,,"856 Monument Rd.",,  30.337130, -81.545710,,,0,
0412,,"989 Monument Rd.",,  30.335955, -81.546003,,,0,
0413,,"730 Monument Rd.",,  30.334747, -81.546827,,,0,
0414,,"544 Monument Rd.",,  30.333866, -81.546656,,,0,
0416,,"Monument Rd. & Atrium Way fs nb",,  30.331914, -81.546826,,,0,
0417,,"Monument Rd. & N. Regency Square Blvd.",,  30.330979, -81.547188,,,0,
0418,,"445 Monument Rd.",,  30.329630, -81.546880,,,0,
0419,,"N. Regency Square Blvd. & Commerce Ctr. Dr. ns sb",,  30.329110, -81.547050,,,0,
0421,,"355 Monument Rd.",,  30.327582, -81.546847,,,0,
0422,,"Monument Rd. & S. Regency Square Blvd.",,  30.326610, -81.547040,,,0,
0423,,"237 Monument Rd.",,  30.325150, -81.546760,,,0,
0424,,"9520 Regency Square Blvd. & Homedepot nb",,  30.327630, -81.548870,,,0,
0425,,"Southside Blvd. & Kendall Towne",,  30.343740, -81.551950,,,0,
0426,,"9520 N. Regency Square Blvd.(Target)",,  30.328436, -81.548891,,,0,
0429,,"9550 S. Regency Square Blvd.",,  30.326215, -81.550198,,,0,
0432,,"9501 Arlington Expwy.",,  30.323230, -81.558340,,,0,
0433,,"Regency Parking Lot & Arlington Expy. Serv. Rd.",,  30.323510, -81.558660,,,0,
0452,,"Beach Blvd. & Eve Dr. eb",,  30.286441, -81.555296,,,0,
0453,,"Beach Blvd. & Kline Rd. wb",,  30.286688, -81.555437,,,0,
0454,,"Beach Blvd. & Peach Dr. eb",,  30.286496, -81.548808,,,0,
0455,,"Beach Blvd. & Peach Dr. wb",,  30.286800, -81.547900,,,0,
0456,,"Beach Blvd. & Forest Blvd.",,  30.286554, -81.544509,,,0,
0457,,"Beach Blvd. & Forest Blvd.",,  30.286866, -81.543903,,,0,
0458,,"Beach Blvd. & Anniston Rd.",,  30.286612, -81.539503,,,0,
0459,,"Beach Blvd. & Anniston Rd.",,  30.286920, -81.538704,,,0,
0460,,"Beach Blvd. & Leon Rd.",,  30.286955, -81.536008,,,0,
0461,,"10900 Beach Blvd.",,  30.286639, -81.535806,,,0,
0462,,"Beach Blvd. & Country Side eb",,  30.286663, -81.533803,,,0,
0463,,"Beach Blvd. & Desalvo Rd. wb",,  30.287012, -81.532209,,,0,
0464,,"Beach Blvd. & Cortez Rd. wb",,  30.286998, -81.528516,,,0,
0465,,"Beach Blvd. & Cortez Rd. eb",,  30.286711, -81.529427,,,0,
0466,,"Southside Blvd. & Cargal St.",,  30.280758, -81.559396,,,0,
0468,,"Eve Dr. W & Anders Blvd.",,  30.277982, -81.557534,,,0,
0470,,"Anders Blvd. & Eve Dr. East",,  30.278020, -81.555040,,,0,
0471,,"Anders Blvd. & Eve Dr. East",,  30.277910, -81.555330,,,0,
0472,,"Anders Blvd. & Peach Dr.",,  30.278080, -81.550930,,,0,
0473,,"Anders Blvd. & Peach Dr.",,  30.277981, -81.551592,,,0,
0474,,"Anders Blvd. & Packard Dr.",,  30.278140, -81.544750,,,0,
0475,,"Anders Blvd. & Forest Blvd.",,  30.278019, -81.543364,,,0,
0480,,"Town Center Pkwy. & Brightman Blvd.",,  30.265030, -81.528030,,,0,
0481,,"Town Center Pkwy. & Brightman Blvd.",,  30.264400, -81.527920,,,0,
0483,,"4624 Town Crossing Dr.",,  30.259923, -81.527170,,,0,
0484,,"Town Crossing Dr. & Buckhead Branch Dr.",,  30.254680, -81.527170,,,0,
0486,,"Gate Pkwy. & Skinner Lake Dr.",,  30.252840, -81.536180,,,0,
0487,,"10151 Gate Pkwy.",,  30.256035, -81.537173,,,0,
0490,,"10190 Gate Pkwy.",,  30.256714, -81.538957,,,0,
0491,,"10000 Gate Pkwy.",,  30.257020, -81.540840,,,0,
0492,,"9877 Gate Pkwy.",,  30.257829, -81.543477,,,0,
0493,,"Gate Pkwy. & Deerwood Campus Pkwy.",,  30.258040, -81.544600,,,0,
0494,,"Gate Pkwy. & Deer Lake Dr. E",,  30.258780, -81.545380,,,0,
0495,,"Gate Pkwy. & Deer Lake Dr. E",,  30.259600, -81.546820,,,0,
0496,,"Gate Pkwy. & Touchton Rd.",,  30.261250, -81.548670,,,0,
